"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"org.apache.log4j.spi.DefaultRepositorySelector";"16";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.ListDatatypeValidator";"16";"1";"1";"18.00";"1"
"java.util.Collections$UnmodifiableSet";"16";"1";"1";"17.00";"1"
"org.apache.log4j.or.RendererMap";"16";"1";"1";"18.00";"1"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet";"16";"1";"1";"18.00";"1"
"java.util.Collections$SingletonSet";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_7_el";"16";"1";"1";"17.00";"1"
"sun.launcher.LauncherHelper";"16";"1";"1";"18.00";"1"
"org.apache.log4j.CategoryKey";"16";"1";"1";"18.00";"1"
"sun.launcher.LauncherHelper[]";"16";"1";"1";"18.00";"1"
"java.text.FieldPosition[]";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_6_ar";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_5_ru";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_ro";"16";"1";"1";"17.00";"1"
"java.text.DateFormat$Field";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_pl";"16";"1";"1";"17.00";"1"
"java.security.ProtectionDomain$Key";"16";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.Constants$ArrayEnumeration";"16";"1";"1";"18.00";"1"
"java.security.Principal[]";"16";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_hu";"16";"1";"1";"17.00";"1"
"org.apache.tika.sax.ElementMappingContentHandler$TargetElement";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_2_cs";"16";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_sbcs$CharsetRecog_8859_1_sv";"16";"1";"1";"17.00";"1"
"java.util.zip.ZStreamRef";"16";"1";"1";"18.00";"1"
"org.apache.tika.sax.xpath.TextMatcher";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_Unicode$CharsetRecog_UTF_32_LE";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_mbcs$CharsetRecog_sjis";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_mbcs$CharsetRecog_big5";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_mbcs$CharsetRecog_euc$CharsetRecog_euc_kr";"8";"1";"1";"17.00";"1"
"org.apache.tika.config.LoadErrorHandler$2";"8";"1";"1";"17.00";"1"
"java.lang.ref.ReferenceQueue$Lock";"8";"1";"1";"18.00";"1"
"org.apache.tika.config.LoadErrorHandler$3";"8";"1";"1";"17.00";"1"
"org.apache.tika.config.LoadErrorHandler$1";"8";"1";"1";"17.00";"1"
"org.apache.tika.sax.xpath.NodeMatcher";"8";"1";"1";"17.00";"1"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport";"8";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.dom.CharacterDataImpl$1";"8";"1";"1";"18.00";"1"
"de.unibi.cebitec.bibiserv.search.Search";"8";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.StringDatatypeValidator";"8";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.NOTATIONDatatypeValidator";"8";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.NMTOKENDatatypeValidator";"8";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_mbcs$CharsetRecog_gb_18030";"8";"1";"1";"17.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.IDREFDatatypeValidator";"8";"1";"1";"18.00";"1"
